"","work","needs_access","has_car","citysize","income","race","gender","children","age","educ"
"2","0","0","1","3","18750","1","0",0,"33","16"
"3","1","0","1","3","32500","1","0",0,"24","14"
"7","1","0","1","3","55000","1","0",2,"40","18"
"8","1","0","1","3","21250","1","0",0,"42","14"
"10","1","0","1","3","18750","0","0",0,"27","9"
"14","1","0","0","3","32500","1","0",2,"35","13"
"16","1","0","1","3","27500","0","1",8,"61","15"
"18","1","0","1","3","13750","0","1",0,"53","13"
"26","1","0","1","1","45000","0","1",2,"53","18"
"28","1","0","0","1","18750","1","1",0,"25","14"
"29","1","0","0","1","27500","0","0",0,"26","16"
"30","1","0","1","1","55000","1","1",0,"43","16"
"32","1","0","1","1","5500","1","1",1,"29","16"
"33","1","0","1","1","45000","0","0",3,"39","8"
"34","1","0","1","1","45000","0","0",0,"35","12"
"38","1","0","1","1","55000","1","0",5,"49","14"
"39","0","0","1","1","37500","0","1",0,"52","13"
"40","1","0","1","1","11250","0","0",5,"68","11"
"42","1","0","1","1","55000","0","0",0,"42","14"
"44","1","0","1","1","23750","0","1",2,"59","12"
"46","1","0","1","1","55000","0","0",2,"40","12"
"47","1","0","0","1","21250","0","0",0,"23","9"
"51","1","0","1","1","37500","0","1",0,"45","16"
"55","0","0","1","1","21250","0","0",0,"25","15"
"56","1","0","1","1","55000","0","1",1,"28","19"
"57","1","0","1","1","45000","0","0",1,"37","14"
"58","1","0","1","1","32500","0","1",3,"29","13"
"61","1","0","1","1","21250","0","0",2,"55","14"
"62","1","0","1","1","4500","1","0",1,"34","16"
"63","1","0","1","1","55000","1","1",0,"34","14"
"64","1","0","1","1","11250","0","1",3,"26","19"
"65","1","0","1","1","45000","0","0",0,"35","14"
"68","1","0","1","1","27500","0","0",3,"62","14"
"70","1","0","1","1","55000","0","1",5,"70","13"
"72","1","0","1","0","18750","0","1",0,"27","12"
"74","1","0","1","3","37500","1","1",5,"36","12"
"75","1","0","0","3","13750","1","1",1,"41","13"
"80","1","0","1","1","45000","1","0",3,"56","14"
"82","1","0","1","1","21250","0","1",0,"38","11"
"88","1","0","1","1","6500","0","0",0,"20","14"
"90","0","0","1","1","11250","1","0",0,"29","16"
"92","1","0","1","3","18750","1","1",0,"25","16"
"93","1","0","1","3","55000","0","0",0,"37","14"
"97","1","0","1","1","55000","0","0",1,"48","14"
"98","1","0","1","1","23750","0","0",0,"27","11"
"99","1","0","1","1","27500","0","1",3,"61","14"
"101","1","0","1","1","23750","0","1",0,"39","16"
"109","1","0","1","1","55000","1","1",1,"25","12"
"110","1","0","1","1","13750","0","1",0,"22","12"
"113","1","0","1","3","37500","0","1",0,"43","13"
"115","1","0","1","2","6500","0","1",2,"57","13"
"118","1","0","1","1","27500","0","1",0,"70","12"
"120","1","0","1","1","21250","1","1",3,"46","12"
"122","1","0","1","1","18750","0","1",3,"67","12"
"124","1","0","1","1","3500","0","1",2,"62","11"
"127","1","0","1","1","32500","1","1",2,"31","15"
"129","1","0","1","2","6500","0","1",1,"47","13"
"130","1","0","1","1","4500","0","1",2,"35","13"
"132","1","0","1","1","21250","0","1",3,"55","16"
"136","1","0","1","1","55000","1","0",0,"46","15"
"137","1","0","1","2","45000","0","0",1,"27","16"
"139","1","0","1","2","32500","0","1",2,"49","12"
"140","1","0","0","3","37500","1","0",0,"29","9"
"145","1","0","1","1","6500","0","0",0,"38","11"
"146","1","0","1","1","55000","0","1",1,"55","14"
"147","1","0","1","1","32500","0","0",0,"22","12"
"149","1","0","1","3","55000","0","1",0,"60","14"
"150","1","0","1","3","27500","1","1",0,"55","13"
"151","1","0","1","3","21250","1","1",2,"41","12"
"156","1","0","1","1","55000","0","0",0,"43","13"
"157","1","0","1","1","32500","0","1",3,"68","12"
"163","1","0","0","0","37500","0","0",0,"35","16"
"165","1","0","1","0","32500","0","1",0,"28","16"
"168","1","0","1","1","45000","1","1",1,"45","16"
"170","1","0","1","1","45000","0","0",2,"67","17"
"172","1","0","1","1","18750","0","1",3,"36","14"
"173","1","0","1","1","45000","0","0",0,"44","14"
"174","1","0","1","1","37500","0","0",0,"33","17"
"177","1","0","1","2","21250","1","1",6,"39","14"
"179","0","0","1","2","3500","1","0",0,"21","12"
"180","1","0","1","1","27500","0","0",0,"23","14"
"184","1","0","1","3","21250","1","1",0,"20","14"
"185","1","0","1","3","5500","1","1",0,"19","13"
"189","1","0","1","1","32500","0","1",2,"42","15"
"190","1","0","0","1","16250","0","0",0,"19","11"
"191","1","0","1","2","27500","1","0",1,"23","11"
"195","1","0","1","3","37500","0","1",2,"33","17"
"196","1","0","1","3","55000","0","1",2,"57","18"
"198","1","0","1","3","45000","1","0",2,"44","13"
"202","1","0","1","1","45000","1","0",3,"31","14"
"203","1","0","1","1","55000","0","0",1,"28","10"
"206","1","0","1","1","45000","0","0",1,"29","16"
"210","1","0","1","3","27500","0","0",0,"45","12"
"213","1","0","1","1","45000","0","0",2,"30","14"
"214","1","0","1","1","32500","0","0",1,"23","14"
"216","1","0","1","1","32500","0","0",5,"38","6"
"219","1","0","1","1","37500","0","1",1,"40","12"
"220","1","1","0","1","32500","1","0",1,"48","14"
"221","0","1","0","1","3500","1","1",0,"41","12"
"222","1","0","1","1","45000","1","0",6,"37","15"
"223","1","0","0","1","37500","1","1",3,"28","13"
"224","1","0","1","1","45000","0","0",0,"32","15"
"225","1","0","0","1","27500","1","0",1,"40","11"
"227","1","0","1","1","45000","1","0",1,"29","13"
"228","1","0","1","3","23750","0","1",3,"43","12"
"229","1","0","1","3","32500","1","1",2,"36","13"
"230","1","0","1","3","27500","1","1",2,"51","12"
"231","1","0","1","3","37500","0","1",0,"34","19"
"232","1","0","1","3","6500","0","1",4,"41","12"
"236","1","0","1","3","37500","1","0",2,"31","14"
"238","0","0","0","3","13750","1","0",0,"20","12"
"241","1","0","1","3","16250","1","1",3,"47","13"
"242","1","0","0","3","27500","1","1",0,"25","12"
"243","1","0","1","3","32500","1","0",4,"39","14"
"246","1","0","1","1","37500","1","1",4,"54","14"
"247","1","0","1","1","21250","1","1",3,"53","12"
"248","1","0","1","1","21250","1","0",3,"49","16"
"250","1","0","1","1","11250","0","1",2,"58","20"
"253","1","0","0","1","23750","1","0",1,"29","12"
"254","1","0","0","3","27500","0","0",2,"42","11"
"256","1","0","1","1","37500","0","0",0,"35","16"
"257","1","0","1","1","4500","0","0",3,"58","15"
"259","1","0","1","3","37500","1","1",3,"35","12"
"260","1","0","1","3","13750","0","1",4,"63","14"
"262","1","0","1","2","45000","0","1",3,"52","15"
"263","1","0","1","2","27500","0","1",1,"60","16"
"267","1","0","1","1","23750","0","1",0,"57","12"
"271","1","0","1","3","45000","0","1",0,"44","16"
"272","1","0","1","3","11250","0","1",2,"43","18"
"274","1","0","1","1","32500","0","0",7,"44","16"
"277","1","0","1","1","27500","0","0",2,"34","16"
"278","1","0","1","1","32500","0","1",2,"41","12"
"279","1","1","0","1","7500","0","0",1,"29","14"
"280","1","0","1","1","55000","0","0",2,"52","20"
"282","1","0","1","0","21250","0","0",2,"60","12"
"283","1","0","1","0","27500","0","0",1,"44","10"
"284","0","0","1","0","27500","0","1",2,"34","12"
"286","1","0","1","2","45000","0","1",0,"31","18"
"287","1","0","1","1","27500","0","1",0,"26","16"
"288","1","0","1","1","21250","0","0",2,"24","12"
"289","1","0","1","1","9000","0","0",0,"39","12"
"291","1","0","1","1","23750","0","0",0,"29","12"
"292","1","0","1","3","27500","0","0",0,"25","16"
"295","1","0","1","0","11250","1","1",2,"22","13"
"296","1","0","1","3","16250","1","1",4,"55","12"
"297","1","0","1","3","27500","1","1",0,"63","13"
"299","1","0","1","2","21250","0","0",0,"58","16"
"312","1","0","1","1","9000","0","0",0,"56","16"
"313","1","0","0","1","37500","1","1",1,"40","13"
"316","1","0","1","1","45000","1","1",2,"42","13"
"319","1","0","0","3","6500","1","1",0,"61","12"
"324","1","0","1","3","55000","1","1",1,"44","16"
"325","1","0","1","3","45000","1","0",0,"36","14"
"326","1","0","1","3","27500","1","1",2,"54","14"
"327","1","0","1","1","11250","0","1",5,"57","12"
"330","1","0","1","2","13750","0","0",0,"20","13"
"331","1","0","1","1","45000","0","0",0,"44","12"
"333","1","0","1","1","45000","0","1",1,"31","15"
"335","1","0","1","1","23750","1","1",1,"35","12"
"337","1","0","1","1","21250","0","1",2,"55","12"
"342","1","0","0","1","37500","0","0",0,"28","13"
"344","1","0","1","3","37500","0","0",0,"56","15"
"345","1","0","1","1","37500","0","0",0,"43","16"
"347","1","0","0","1","21250","0","1",0,"25","14"
"348","1","0","1","1","27500","0","0",2,"40","16"
"350","0","0","0","1","16250","0","0",0,"34","11"
"351","1","0","1","1","21250","1","0",0,"26","14"
"352","1","0","1","3","32500","0","1",2,"37","16"
"353","0","0","1","3","21250","0","1",3,"40","12"
"354","1","0","1","3","6500","0","0",2,"48","16"
"356","1","0","1","3","45000","0","1",2,"52","13"
"358","1","0","1","3","5500","0","1",1,"39","17"
"360","1","0","1","3","11250","0","0",2,"52","14"
"362","0","0","0","1","32500","0","1",2,"47","20"
"365","1","1","1","1","45000","1","0",0,"29","20"
"367","1","0","1","0","45000","0","0",0,"33","16"
"368","1","0","1","2","27500","0","0",0,"37","12"
"369","1","0","1","2","27500","0","1",0,"39","14"
"370","1","0","1","2","45000","0","0",0,"35","12"
"372","1","0","1","0","27500","0","0",1,"36","12"
"374","1","0","1","2","23750","0","1",0,"56","12"
"375","1","0","1","2","37500","0","0",0,"34","18"
"377","1","0","1","2","37500","0","0",0,"25","12"
"378","1","0","1","2","32500","0","1",2,"64","13"
"383","1","0","1","2","55000","0","0",0,"52","16"
"384","0","0","1","2","23750","0","1",2,"48","15"
"387","1","0","1","2","21250","0","1",0,"27","20"
"388","1","0","1","2","32500","0","1",0,"33","20"
"390","1","0","1","0","45000","0","0",2,"34","18"
"393","1","0","1","0","13750","0","1",2,"60","12"
"394","1","0","1","0","27500","0","1",0,"39","15"
"396","1","0","1","0","37500","0","1",5,"51","14"
"398","1","0","1","0","45000","0","1",1,"49","16"
"399","1","0","1","0","45000","0","0",2,"42","12"
"400","0","0","0","0","21250","0","1",0,"41","10"
"402","1","0","1","1","11250","0","1",3,"66","12"
"403","1","0","1","1","45000","0","1",2,"47","12"
"408","1","0","1","1","37500","0","0",3,"32","14"
"412","1","0","1","1","45000","1","0",4,"36","13"
"413","1","0","1","1","7500","0","0",2,"74","16"
"414","1","0","1","1","27500","0","1",1,"41","12"
"415","1","0","1","2","27500","0","0",2,"54","12"
"416","1","0","1","2","7500","0","0",0,"40","12"
"420","1","0","1","2","16250","1","1",4,"40","10"
"425","1","0","1","2","11250","0","0",0,"39","12"
"428","1","0","1","2","13750","0","1",3,"26","12"
"430","1","0","1","2","5500","0","1",0,"40","10"
"432","1","0","1","2","37500","0","0",0,"57","14"
"434","1","0","1","0","45000","0","0",0,"48","12"
"439","1","0","1","3","27500","0","1",1,"54","12"
"440","1","0","1","3","27500","0","0",4,"54","11"
"443","1","0","1","3","32500","1","1",2,"34","14"
"446","1","0","1","3","23750","0","0",1,"31","12"
"448","1","0","1","1","45000","0","0",2,"44","14"
"449","1","0","1","1","55000","0","0",4,"43","12"
"451","1","0","1","1","32500","0","0",1,"42","12"
"454","1","0","1","1","55000","0","0",2,"53","12"
"455","1","0","1","1","16250","0","1",2,"27","12"
"456","1","0","1","1","21250","0","0",4,"55","13"
"458","1","0","1","2","27500","0","0",2,"27","13"
"461","1","0","1","2","16250","0","1",3,"40","12"
"462","1","0","1","2","9000","0","0",0,"20","13"
"465","1","0","1","2","55000","0","1",0,"46","16"
