"","work","needs_access","has_car","mobility","citysize","income","race","gender","children","age","educ"
"8","2","0","1","1","3","21250","1","0","0","42","14"
"10","2","0","1","1","3","18750","0","0","0","27","9"
"14","2","0","0","1","3","32500","1","0","2","35","13"
"16","2","0","1","0","3","27500","0","1","8","61","15"
"26","2","0","1","1","1","45000","0","1","2","53","18"
"28","1","0","0","2","1","18750","1","1","0","25","14"
"29","2","0","0","0","1","27500","0","0","0","26","16"
"30","2","0","1","1","1","55000","1","1","0","43","16"
"32","1","0","1","2","1","5500","1","1","1","29","16"
"33","2","0","1","1","1","45000","0","0","3","39","8"
"34","2","0","1","1","1","45000","0","0","0","35","12"
"38","2","0","1","0","1","55000","1","0","5","49","14"
"42","2","0","1","0","1","55000","0","0","0","42","14"
"46","2","0","1","2","1","55000","0","0","2","40","12"
"47","2","0","0","1","1","21250","0","0","0","23","9"
"56","2","0","1","2","1","55000","0","1","1","28","19"
"58","2","0","1","2","1","32500","0","1","3","29","13"
"62","2","0","1","2","1","4500","1","0","1","34","16"
"63","2","0","1","1","1","55000","1","1","0","34","14"
"68","1","0","1","1","1","27500","0","0","3","62","14"
"74","2","0","1","1","3","37500","1","1","5","36","12"
"82","2","0","1","2","1","21250","0","1","0","38","11"
"88","2","0","1","2","1","6500","0","0","0","20","14"
"92","1","0","1","1","3","18750","1","1","0","25","16"
"93","2","0","1","2","3","55000","0","0","0","37","14"
"97","2","0","1","1","1","55000","0","0","1","48","14"
"98","2","0","1","2","1","23750","0","0","0","27","11"
"99","1","0","1","1","1","27500","0","1","3","61","14"
"109","2","0","1","2","1","55000","1","1","1","25","12"
"113","2","0","1","0","3","37500","0","1","0","43","13"
"118","2","0","1","0","1","27500","0","1","0","70","12"
"122","1","0","1","0","1","18750","0","1","3","67","12"
"124","1","0","1","0","1","3500","0","1","2","62","11"
"127","0","0","1","1","1","32500","1","1","2","31","15"
"130","1","0","1","1","1","4500","0","1","2","35","13"
"132","2","0","1","0","1","21250","0","1","3","55","16"
"137","2","0","1","1","2","45000","0","0","1","27","16"
"139","1","0","1","1","2","32500","0","1","2","49","12"
"140","2","0","0","2","3","37500","1","0","0","29","9"
"146","2","0","1","0","1","55000","0","1","1","55","14"
"149","2","0","1","0","3","55000","0","1","0","60","14"
"150","2","0","1","2","3","27500","1","1","0","55","13"
"151","2","0","1","1","3","21250","1","1","2","41","12"
"163","2","0","0","2","0","37500","0","0","0","35","16"
"168","2","0","1","2","1","45000","1","1","1","45","16"
"173","2","0","1","1","1","45000","0","0","0","44","14"
"177","2","0","1","0","2","21250","1","1","6","39","14"
"180","2","0","1","1","1","27500","0","0","0","23","14"
"184","2","0","1","0","3","21250","1","1","0","20","14"
"189","1","0","1","2","1","32500","0","1","2","42","15"
"195","2","0","1","2","3","37500","0","1","2","33","17"
"196","2","0","1","1","3","55000","0","1","2","57","18"
"198","2","0","1","0","3","45000","1","0","2","44","13"
"202","2","0","1","0","1","45000","1","0","3","31","14"
"206","2","0","1","1","1","45000","0","0","1","29","16"
"213","2","0","1","0","1","45000","0","0","2","30","14"
"214","2","0","1","0","1","32500","0","0","1","23","14"
"220","2","1","0","0","1","32500","1","0","1","48","14"
"222","2","0","1","0","1","45000","1","0","6","37","15"
"227","2","0","1","1","1","45000","1","0","1","29","13"
"228","2","0","1","0","3","23750","0","1","3","43","12"
"230","2","0","1","2","3","27500","1","1","2","51","12"
"231","2","0","1","1","3","37500","0","1","0","34","19"
"232","2","0","1","0","3","6500","0","1","4","41","12"
"236","0","0","1","1","3","37500","1","0","2","31","14"
"241","1","0","1","1","3","16250","1","1","3","47","13"
"242","2","0","0","1","3","27500","1","1","0","25","12"
"243","2","0","1","1","3","32500","1","0","4","39","14"
"247","2","0","1","1","1","21250","1","1","3","53","12"
"248","2","0","1","0","1","21250","1","0","3","49","16"
"250","1","0","1","1","1","11250","0","1","2","58","20"
"253","2","0","0","1","1","23750","1","0","1","29","12"
"256","2","0","1","0","1","37500","0","0","0","35","16"
"257","1","0","1","2","1","4500","0","0","3","58","15"
"260","1","0","1","1","3","13750","0","1","4","63","14"
"262","2","0","1","1","2","45000","0","1","3","52","15"
"263","2","0","1","0","2","27500","0","1","1","60","16"
"271","2","0","1","0","3","45000","0","1","0","44","16"
"272","1","0","1","0","3","11250","0","1","2","43","18"
"274","2","0","1","0","1","32500","0","0","7","44","16"
"277","2","0","1","1","1","27500","0","0","2","34","16"
"279","1","1","0","0","1","7500","0","0","1","29","14"
"280","2","0","1","0","1","55000","0","0","2","52","20"
"282","1","0","1","0","0","21250","0","0","2","60","12"
"283","2","0","1","0","0","27500","0","0","1","44","10"
"286","2","0","1","1","2","45000","0","1","0","31","18"
"288","2","0","1","1","1","21250","0","0","2","24","12"
"289","2","0","1","1","1","9000","0","0","0","39","12"
"292","2","0","1","2","3","27500","0","0","0","25","16"
"295","1","0","1","2","0","11250","1","1","2","22","13"
"296","2","0","1","0","3","16250","1","1","4","55","12"
"299","1","0","1","1","2","21250","0","0","0","58","16"
"316","2","0","1","0","1","45000","1","1","2","42","13"
"325","2","0","1","0","3","45000","1","0","0","36","14"
"326","2","0","1","1","3","27500","1","1","2","54","14"
"327","1","0","1","1","1","11250","0","1","5","57","12"
