Labor force status,Govt or private employee,Do not have a car,Need but unable to use public transport.,How likely r make effort for new job next year,Could r find equally good job,Is r likely to lose job,Expanded norc. size code,Respondents income,Race of respondent,Respondents sex,Highest year of school completed,Age of respondent,Number of children,Rs occupational prestige score (2010)
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Other,Female,9,52,1,0
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Other,Female,14,43,3,0
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,No answer,Black,Male,14,52,4,0
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,City gt 250000,$75000 to $89999,White,Male,14,53,4,32
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$35000 to 39999,Other,Female,17,34,0,59
"Unempl, laid off",Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,$17500 to 19999,Black,Male,16,33,0,45
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,City gt 250000,$30000 to 34999,Other,Male,14,24,0,37
Working parttime,Private,Not applicable,Not applicable,No answer,Not applicable,Not applicable,City gt 250000,Not applicable,Other,Male,14,22,0,40
Working parttime,Private,Yes,No,Very likely,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Male,12,19,0,31
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not easy,Not likely,City gt 250000,$25000 to 29999,Black,Male,14,26,0,37
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Male,12,74,7,38
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,$30000 to 34999,Black,Female,12,58,3,48
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,City gt 250000,$10000 to 12499,Black,Male,10,32,1,39
Working parttime,Private,No,No,Very likely,Not applicable,Not applicable,City gt 250000,$50000 to 59999,Black,Male,18,40,2,74
Working fulltime,Private,No,No,Somewhat likely,Somewhat easy,Not too likely,City gt 250000,$20000 to 22499,Black,Male,14,42,0,39
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,$3 000 to 3 999,Black,Male,11,48,2,24
Working fulltime,Government,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,$3 000 to 3 999,Black,Female,9,39,5,48
Working fulltime,Private,No,No,Somewhat likely,Somewhat easy,Fairly likely,City gt 250000,$17500 to 19999,White,Male,9,27,0,31
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Female,16,38,3,61
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,$25000 to 29999,Other,Male,11,29,2,49
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Female,13,29,2,36
Working fulltime,Private,Not applicable,Not applicable,No answer,No answer,No answer,City gt 250000,Not applicable,White,Female,14,67,2,45
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,$12500 to 14999,White,Male,12,57,2,26
School,Not applicable,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Other,Male,14,20,0,0
Other,Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Male,13,19,0,25
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$1 000 to 2 999,Other,Female,16,55,1,38
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,$17500 to 19999,White,Female,13,35,2,46
School,Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Male,16,26,0,52
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Male,16,81,2,60
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Male,16,73,0,61
Retired,Government,Yes,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Female,12,65,1,47
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Male,12,68,1,32
Working fulltime,Private,Yes,No,Very likely,Somewhat easy,Very likely,City gt 250000,$30000 to 34999,Black,Male,13,35,2,35
Working fulltime,Private,Yes,No,Very likely,Somewhat easy,Not likely,City gt 250000,$110000 or over,White,Male,18,30,0,0
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,Refused,White,Female,17,47,2,49
Working fulltime,Private,Not applicable,Not applicable,No answer,No answer,No answer,City gt 250000,$40000 to 49999,White,Female,16,58,1,46
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,City gt 250000,$60000 to 74999,White,Female,20,57,0,39
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,City gt 250000,$110000 or over,White,Male,19,29,0,69
Working fulltime,Private,No,No,Not at all likely,Not easy,Not too likely,City gt 250000,$110000 or over,White,Female,18,53,0,57
"Unempl, laid off",Private,Yes,Yes,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Male,16,48,0,63
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,$8 000 to 9 999,Black,Female,13,23,1,39
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,City gt 250000,Don't know,Other,Male,14,36,2,60
Keeping house,Private,Yes,No,Not applicable,Not applicable,Not applicable,City gt 250000,No answer,Black,Male,12,24,1,0
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,City gt 250000,$25000 to 29999,White,Female,15,61,Eight or more,47
Other,Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,No answer,White,Male,14,49,0,0
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not easy,Not likely,City gt 250000,$50000 to 59999,Other,Male,16,55,3,39
Working parttime,Private,No,No,Not at all likely,Don't know,Not likely,City gt 250000,$12500 to 14999,White,Female,13,53,0,48
Working fulltime,Government,Not applicable,Not applicable,Somewhat likely,Somewhat easy,Not too likely,City gt 250000,$60000 to 74999,White,Male,18,33,0,64
Temp not working,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not too likely,City gt 250000,No answer,White,Female,13,26,0,0
Working parttime,Private,No,No,Not at all likely,Not easy,Not likely,City gt 250000,Not applicable,White,Female,16,63,4,32
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,City gt 250000,$60000 to 74999,White,Male,13,38,1,44
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,$20000 to 22499,Other,Male,17,30,0,49
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,City gt 250000,$50000 to 59999,Black,Female,12,37,0,40
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$22500 to 24999,White,Male,12,49,2,37
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not too likely,"City,50-250000",$17500 to 19999,White,Male,12,23,0,44
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,"City,50-250000",Refused,White,Female,8,59,0,24
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"City,50-250000",Under $1 000,White,Male,16,47,0,56
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,16,31,3,31
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Somewhat easy,Not too likely,"Uninc,med city",Not applicable,White,Female,16,55,2,52
Working parttime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$10000 to 12499,White,Male,16,74,2,61
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$110000 or over,White,Male,16,49,2,53
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$60000 to 74999,White,Male,16,40,3,64
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Uninc,med city",Refused,Other,Female,20,40,3,74
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$110000 or over,Other,Male,18,42,3,60
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$110000 or over,Other,Male,20,55,2,80
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,18,48,3,53
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,14,70,4,31
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",No answer,White,Female,14,No answer,Dk na,0
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Don't know,Not likely,"Suburb, lrg city",$40000 to 49999,White,Female,18,57,2,51
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not easy,Not likely,"Suburb, lrg city",$40000 to 49999,White,Female,18,59,0,51
Temp not working,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,Black,Female,16,38,0,38
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,Black,Female,17,33,1,51
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not too likely,"Suburb, lrg city",$40000 to 49999,White,Female,18,53,2,71
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,Black,Female,15,45,5,46
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not too likely,"Suburb, lrg city",$10000 to 12499,Black,Female,16,41,1,40
Working parttime,Private,Yes,No,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$17500 to 19999,Other,Female,14,25,0,35
Working fulltime,Private,Yes,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$25000 to 29999,White,Male,16,26,0,38
Working fulltime,No answer,No,No,Not at all likely,Don't know,Not likely,"Uninc,med city",Refused,Other,Male,18,57,2,38
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$12500 to 14999,Other,Female,10,57,2,25
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,18,66,0,65
Working fulltime,Private,Yes,No,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$30000 to 34999,Black,Female,15,39,0,47
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Uninc,med city",Refused,Other,Male,12,43,3,45
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$40000 to 49999,White,Female,17,30,1,61
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Male,16,48,2,53
Working parttime,Private,Yes,No,Very likely,Not easy,Fairly likely,"Suburb, lrg city",Not applicable,White,Male,17,45,0,38
"Unempl, laid off",Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Male,12,45,0,49
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",Refused,Other,Male,16,32,0,51
"Unempl, laid off",Don't know,Yes,Yes,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",No answer,Black,Female,12,22,0,0
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not easy,Not too likely,"Suburb, lrg city",$75000 to $89999,Other,Male,15,33,1,60
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,69,2,47
Working fulltime,Private,No,No,Somewhat likely,Somewhat easy,Not too likely,"Suburb, lrg city",$50000 to 59999,Other,Female,16,43,0,63
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Don't know,Not likely,"Suburb, lrg city",$75000 to $89999,Other,Male,15,31,1,60
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$75000 to $89999,Other,Male,14,31,1,61
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Female,13,45,2,58
Keeping house,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Female,12,79,3,46
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",$4 000 to 4 999,White,Female,12,18,0,28
Working parttime,Private,No,No,Not at all likely,Very easy,Not likely,"Uninc,lrg city",$15000 to 17499,White,Female,12,55,2,30
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Male,13,63,3,35
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Male,12,63,4,35
Working parttime,Private,No,No,Very likely,Somewhat easy,Not too likely,"Uninc,lrg city",Under $1 000,Other,Female,12,37,2,31
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$75000 to $89999,White,Male,20,31,0,60
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$60000 to 74999,Black,Female,19,33,1,58
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,White,Female,16,37,2,31
Working parttime,Private,No,No,Somewhat likely,Very easy,Not likely,"Suburb, lrg city",$5 000 to 5 999,Other,Female,16,29,1,28
School,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,Other,Female,14,33,4,0
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$60000 to 74999,White,Female,17,50,1,69
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",$40000 to 49999,White,Male,8,39,3,33
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,10,42,5,45
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",$40000 to 49999,White,Male,12,35,0,49
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$3 000 to 3 999,Other,Female,15,57,2,28
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",Don't know,Black,Male,15,57,2,35
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not too likely,"Suburb, lrg city",$50000 to 59999,White,Male,9,60,1,39
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,14,74,2,0
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,8,86,4,32
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,28,4,24
